name;zen_g;zen;ves;oth
coca-cola;0,160;40;0,25;1
васаби;0,160;160;1;1
ветчина;0,345;345;1;1
вода;0,003;3;1;1
газировка;0,020;20;1;1
газировка сифоном;0,005;5;1;1
грибы шитаки;1,200;1200;1;1
зелень;0,500;50;0,1;1
икра масаго;0,680;340;0,5;1
имбирь;0,181;1450;10;0,8
калбаски;0,275;275;1;1
кальмар;0,200;200;1;1
карбонат;0,345;345;1;1
картофель;0,030;30;1;1
картофель дольками;0,100;1200;12;1
картофель фри;0,096;240;2,5;1
картофельные шарики;0,300;300;1;1
киккаман;0,221;221;1;1
кл€р-сухари;0,264;264;1;1
колбаски венгерские;0,275;275;1;1
котлета;0,200;200;1;1
кофе Paulig;1,000;250;0,25;1
краб снежный;0,450;90;0,2;1
креветки;1,300;650;1;0,5
кунжут;0,390;390;1;1
кунжутное масло;0,433;780;1,8;1
куриное филе;0,200;200;1;1
курица копчЄна€;0,450;450;1;1
лапша соба;0,150;45;0,3;1
лапша удон;0,150;45;0,3;1
лимон;0,060;60;1;1
лимонад √руша;0,028;28;1;1
лист салата;0,833;250;1;0,3
лосось;0,470;470;1;1
лосось копчЄный;1,400;1400;1;1
лосось(жар);0,500;500;1;1
луковые кольца;0,060;60;1;1
майонез;0,087;260;3;1
маслины;0,400;400;1;1
масло подсолнечное;0,098;98;1;1
мидии;0,450;180;1;0,4
минеральна€ вода;0,016;21;1,5;0,9
минеральна€ вода без газа;0,003;3;1;1
мицукан;0,143;143;1;1
молоко;0,050;40;1;0,8
морковь;0,020;20;1;1
морской коктель;0,200;200;1;1
мука темпурна€;0,104;104;1;1
начинка на выбор;0,600;600;1;1
нори;4,200;420;0,1;1
огурец;0,045;45;1;1
огурец солЄный;0,100;100;1;1
палочки;1,500;1,5;0,001;1
панировка;0,160;160;1;1
пельмени;0,160;32;0,2;1
перец болгарский;0,120;120;1;1
перец каенский;0,300;300;1;1
перец чЄрный;0,500;15;0,03;1
пиво јнглийский Ёль;0,072;65;1;0,9
пиво Ѕавари€ —ветлое;0,067;60,5;1;0,9
пиво ¬арница Ѕархатное(“Ємное);0,072;65;1;0,9
пиво ¬арница Ќефильтрованное;0,072;65;1;0,9
пиво ∆игулЄвское;0,056;50;1;0,9
помидор;0,033;23;1;0,7
раки небольшие;0,260;260;1;1
раки огромные;0,800;800;1;1
раки средние;0,410;410;1;1
рис;0,032;1350;25;1,7
салат чука;0,285;570;2;1
сахар;0,050;50;1;1
свинина;0,300;300;1;1
сироп банан;0,600;600;1;1
сироп ваниль;0,600;600;1;1
сироп карамель;0,600;600;1;1
сироп клубника;0,600;600;1;1
сироп мохито;0,600;600;1;1
сироп м€тный;0,600;600;1;1
сироп на выбор;0,600;600;1;1
сироп ореховый;0,600;600;1;1
сироп шоколад;0,600;600;1;1
случайна€ начинка;0,600;600;1;1
сок апельсиновый;0,060;60;1;1
сок мультифрукт;0,060;60;1;1
сок €блочный;0,060;60;1;1
соль;0,012;12;1;1
соус барбекю;0,250;50;0,2;1
соус кимчи;0,340;340;1;1
соус на выбор;0,300;300;1;1
соус соевый;0,076;2600;18;1,9
соус сырный;0,250;50;0,2;1
соус табаско;1,944;350;0,18;1
соус тери€ки;0,253;380;1,5;1
соус унаги;0,240;360;1,5;1
соус устричный;0,419;380;0,907;1
соус фирменный;0,300;300;1;1
соус чесночный;0,300;300;1;1
соус ширача;0,391;310;0,793;1
спайси соус;0,100;100;1;1
специи;0,100;100;1;1
стружка тунца;1,400;700;0,5;1
суповой набор;0,150;30;0,2;1
сыр;0,300;300;1;1
сыр сливочный;0,315;630;2;1
сыр сэндвичный;0,300;45;0,15;1
угорь;1,250;1250;1;1
укроп;0,470;47;0,1;1
фритюрное масло;0,074;370;5;1
хлеб харис;0,140;140;1;1
хлеб чЄрный;0,060;30;0,5;1
цукини;0,020;20;1;1
чеснок;0,060;60;1;1
шампиньоны;0,120;120;1;1
€блоко;0,080;80;1;1
€йца куриные;0,100;50;0,5;1
